q0_w	q0_x	q0_y	q0_z	q1_w	q1_x	q1_y	q1_z	q2_w	q2_x	q2_y	q2_z	q3_w	q3_x	q3_y	q3_z	q4_w	q4_x	q4_y	q4_z	
0.971286	-0.069897	-0.037171	0.223964	0.985875	-0.148308	-0.010054	0.076207	0.999407	-0.001539	0.004314	-0.032514	0.994057	-0.017867	0.066250	-0.084040	0.980142	0.009172	0.038181	-0.193974
0.979063	-0.064050	-0.029410	0.190470	0.986605	-0.146440	-0.008164	0.070414	0.999442	-0.000634	0.004089	-0.032560	0.994488	-0.018974	0.065663	-0.078847	0.983100	0.008581	0.034703	-0.179344
0.982025	-0.064898	-0.025198	0.174953	0.987131	-0.147345	-0.005552	0.060848	0.999378	0.001462	0.003723	-0.033340	0.994911	-0.019493	0.064670	-0.074142	0.987652	0.006804	0.028381	-0.153290
0.984886	-0.061676	-0.022291	0.160022	0.987268	-0.148078	-0.004605	0.056356	0.999342	0.002348	0.003786	-0.034233	0.995309	-0.020371	0.063816	-0.069246	0.989437	0.004139	0.026246	-0.141935
0.987336	-0.060890	-0.018649	0.144779	0.987591	-0.147532	-0.003984	0.051809	0.999332	0.003003	0.003777	-0.034689	0.995930	-0.023289	0.061683	-0.060279	0.991092	0.004006	0.023655	-0.130647
0.991669	-0.055658	-0.013504	0.114607	0.988063	-0.145958	-0.003386	0.047191	0.999332	0.003659	0.003248	-0.034496	0.996202	-0.024123	0.060854	-0.056675	0.992628	0.004313	0.021360	-0.118623
0.993303	-0.053231	-0.011345	0.101251	0.989326	-0.139837	-0.002080	0.038205	0.999369	0.005832	0.002203	-0.034020	0.996322	-0.024872	0.060791	-0.053565	0.995571	0.002723	0.015269	-0.091811
0.994644	-0.050440	-0.009784	0.088846	0.989543	-0.139323	-0.001947	0.034454	0.999349	0.006671	0.001992	-0.034250	0.996544	-0.024609	0.060697	-0.050016	0.996764	0.003074	0.012604	-0.078587
0.995708	-0.048580	-0.008267	0.077308	0.989588	-0.140091	-0.001378	0.031267	0.999335	0.007568	0.001780	-0.034542	0.996940	-0.024478	0.060140	-0.042191	0.997592	0.003434	0.010791	-0.067202
0.997448	-0.043069	-0.005797	0.055704	0.989614	-0.140229	-0.001103	0.028529	0.999312	0.008662	0.001543	-0.034477	0.997053	-0.026175	0.059637	-0.038446	0.998181	0.001962	0.009561	-0.057834
0.998194	-0.038618	-0.004817	0.044507	0.990031	-0.138169	0.000019	0.023804	0.999329	0.009851	0.001452	-0.033733	0.997176	-0.028144	0.058908	-0.035220	0.998654	0.002023	0.008349	-0.049749
0.998679	-0.036850	-0.002185	0.032864	0.990256	-0.136734	0.000368	0.022119	0.999363	0.010903	0.001447	-0.033408	0.997318	-0.029073	0.057804	-0.032079	0.998983	0.001080	0.007277	-0.042722
0.999078	-0.034175	0.000001	0.022928	0.990623	-0.134284	0.001222	0.020133	0.999324	0.011657	0.001519	-0.033070	0.997547	-0.031928	0.055333	-0.026031	0.999496	-0.001684	0.004551	-0.028361
0.999427	-0.029265	0.001759	0.009908	0.990730	-0.133707	0.002004	0.018701	0.999360	0.012464	0.001656	-0.032912	0.997717	-0.031884	0.053904	-0.023098	0.999679	-0.003592	0.002871	-0.021466
0.999505	-0.028283	0.002176	0.006868	0.990986	-0.132372	0.003553	0.016389	0.999293	0.014810	0.001912	-0.032816	0.997823	-0.031848	0.052414	-0.020221	0.999860	-0.004009	0.000119	-0.011271
0.999558	-0.026098	0.001715	0.004277	0.991008	-0.132135	0.003752	0.015924	0.999310	0.015491	0.001866	-0.032539	0.997980	-0.032614	0.050659	-0.017527	0.999859	-0.006724	-0.000635	-0.006893
0.999563	-0.025981	0.001927	0.002330	0.991119	-0.131301	0.004209	0.015493	0.999324	0.016297	0.001748	-0.032149	0.998084	-0.033419	0.048984	-0.013120	0.999929	-0.006536	-0.000959	-0.002723
0.999603	-0.024616	0.001371	-0.001203	0.991143	-0.131176	0.004056	0.015716	0.999304	0.017147	0.001652	-0.032250	0.998137	-0.033684	0.048398	-0.011220	0.999879	-0.007282	-0.000702	0.001042
0.999629	-0.024319	0.001367	-0.002122	0.991013	-0.131840	0.004258	0.016738	0.999300	0.017667	0.001720	-0.031595	0.998144	-0.034180	0.047747	-0.010161	0.999883	-0.007265	-0.001315	0.007263
0.999625	-0.023598	0.001115	-0.002820	0.991098	-0.131365	0.004502	0.017264	0.999334	0.017697	0.001807	-0.030918	0.998211	-0.033927	0.047044	-0.008953	0.999843	-0.006654	-0.001080	0.008071
0.999657	-0.023571	0.001849	-0.003041	0.991111	-0.131019	0.005320	0.018062	0.999347	0.017599	0.001652	-0.030124	0.998270	-0.034030	0.045626	-0.007485	0.999861	-0.007168	-0.000362	0.008391
0.999663	-0.023264	0.003051	-0.003461	0.991140	-0.130547	0.005970	0.018773	0.999366	0.017439	0.001566	-0.029447	0.998307	-0.034063	0.045110	-0.007012	0.999836	-0.007910	-0.000116	0.009207
0.999669	-0.022103	0.002658	-0.003226	0.991166	-0.130198	0.006657	0.020045	0.999398	0.017306	0.001961	-0.028626	0.998352	-0.033408	0.044616	-0.006271	0.999812	-0.009257	0.000942	0.010711
0.999641	-0.023766	0.003607	-0.003064	0.990973	-0.131596	0.006926	0.020463	0.999378	0.017450	0.001929	-0.028083	0.998345	-0.033443	0.044412	-0.005762	0.999782	-0.011663	0.001923	0.010951
0.999683	-0.022312	0.002605	-0.002936	0.991253	-0.129721	0.006832	0.020623	0.999427	0.017653	0.001956	-0.027598	0.998348	-0.034178	0.044508	-0.004567	0.999791	-0.011879	0.002940	0.012119
0.999681	-0.022567	0.002286	-0.004078	0.991162	-0.129952	0.006738	0.020798	0.999421	0.017790	0.001997	-0.027296	0.998371	-0.033764	0.044391	-0.003721	0.999742	-0.012423	0.003737	0.012135
0.999647	-0.022699	0.002300	-0.003834	0.991259	-0.129416	0.006967	0.021445	0.999420	0.017933	0.002160	-0.026989	0.998387	-0.033385	0.044099	-0.003533	0.999733	-0.012818	0.004874	0.012560
0.999696	-0.022468	0.002208	-0.003714	0.991194	-0.129534	0.007143	0.021905	0.999422	0.017946	0.002336	-0.026858	0.998435	-0.033374	0.043862	-0.003392	0.999733	-0.012818	0.004874	0.012560
0.999637	-0.022921	0.002411	-0.003137	0.991229	-0.129423	0.007420	0.022561	0.999425	0.018134	0.002322	-0.026744	0.998451	-0.033409	0.042945	-0.004113	0.999746	-0.014066	0.005835	0.011423
0.999665	-0.023022	0.002365	-0.002590	0.991166	-0.129539	0.007518	0.023133	0.999438	0.018195	0.002447	-0.026863	0.998468	-0.032995	0.042736	-0.004424	0.999733	-0.014357	0.006516	0.010592
0.999675	-0.023343	0.002126	-0.002595	0.991212	-0.129355	0.007365	0.023788	0.999388	0.019279	0.002420	-0.027339	0.998463	-0.033081	0.042514	-0.004893	0.999731	-0.015390	0.007810	0.009868
0.999636	-0.023595	0.001870	-0.002539	0.991167	-0.129661	0.007477	0.023806	0.999402	0.019335	0.002487	-0.027522	0.998465	-0.033154	0.042434	-0.005128	0.999714	-0.015789	0.008389	0.009572
